# generated from DICOM standard 2024c
# columns are in the same order as parameters to the DicomTag constructor
# eg. tag;name;varName;vr;isMultiVrTag;vmLow;vmHigh;isRetired
#
0;Command Group Length;CommandGroupLength;UL;False;1;1;False
1;Command Length to End;CommandLengthToEnd;UL;False;1;1;True
2;Affected SOP Class UID;AffectedSOPClassUID;UI;False;1;1;False
3;Requested SOP Class UID;RequestedSOPClassUID;UI;False;1;1;False
16;Command Recognition Code;CommandRecognitionCode;SH;False;1;1;True
256;Command Field;CommandField;US;False;1;1;False
272;Message ID;MessageID;US;False;1;1;False
288;Message ID Being Responded To;MessageIDBeingRespondedTo;US;False;1;1;False
512;Initiator;Initiator;AE;False;1;1;True
768;Receiver;Receiver;AE;False;1;1;True
1024;Find Location;FindLocation;AE;False;1;1;True
1536;Move Destination;MoveDestination;AE;False;1;1;False
1792;Priority;Priority;US;False;1;1;False
2048;Command Data Set Type;CommandDataSetType;US;False;1;1;False
2128;Number of Matches;NumberOfMatches;US;False;1;1;True
2144;Response Sequence Number;ResponseSequenceNumber;US;False;1;1;True
2304;Status;Status;US;False;1;1;False
2305;Offending Element;OffendingElement;AT;False;1;4294967295;False
2306;Error Comment;ErrorComment;LO;False;1;1;False
2307;Error ID;ErrorID;US;False;1;1;False
4096;Affected SOP Instance UID;AffectedSOPInstanceUID;UI;False;1;1;False
4097;Requested SOP Instance UID;RequestedSOPInstanceUID;UI;False;1;1;False
4098;Event Type ID;EventTypeID;US;False;1;1;False
4101;Attribute Identifier List;AttributeIdentifierList;AT;False;1;4294967295;False
4104;Action Type ID;ActionTypeID;US;False;1;1;False
4128;Number of Remaining Sub-operations;NumberOfRemainingSuboperations;US;False;1;1;False
4129;Number of Completed Sub-operations;NumberOfCompletedSuboperations;US;False;1;1;False
4130;Number of Failed Sub-operations;NumberOfFailedSuboperations;US;False;1;1;False
4131;Number of Warning Sub-operations;NumberOfWarningSuboperations;US;False;1;1;False
4144;Move Originator Application Entity Title;MoveOriginatorApplicationEntityTitle;AE;False;1;1;False
4145;Move Originator Message ID;MoveOriginatorMessageID;US;False;1;1;False
16384;Dialog Receiver;DialogReceiver;LT;False;1;1;True
16400;Terminal Type;TerminalType;LT;False;1;1;True
20496;Message Set ID;MessageSetID;SH;False;1;1;True
20512;End Message ID;EndMessageID;SH;False;1;1;True
20752;Display Format;DisplayFormat;LT;False;1;1;True
20768;Page Position ID;PagePositionID;LT;False;1;1;True
20784;Text Format ID;TextFormatID;CS;False;1;1;True
20800;Normal/Reverse;NormalReverse;CS;False;1;1;True
20816;Add Gray Scale;AddGrayScale;CS;False;1;1;True
20832;Borders;Borders;CS;False;1;1;True
20848;Copies;Copies;IS;False;1;1;True
20864;Command Magnification Type;CommandMagnificationType;CS;False;1;1;True
20880;Erase;Erase;CS;False;1;1;True
20896;Print;Print;CS;False;1;1;True
20912;Overlays;Overlays;US;False;1;4294967295;True
131072;File Meta Information Group Length;FileMetaInformationGroupLength;UL;False;1;1;False
131073;File Meta Information Version;FileMetaInformationVersion;OB;False;1;1;False
131074;Media Storage SOP Class UID;MediaStorageSOPClassUID;UI;False;1;1;False
131075;Media Storage SOP Instance UID;MediaStorageSOPInstanceUID;UI;False;1;1;False
131088;Transfer Syntax UID;TransferSyntaxUID;UI;False;1;1;False
131090;Implementation Class UID;ImplementationClassUID;UI;False;1;1;False
131091;Implementation Version Name;ImplementationVersionName;SH;False;1;1;False
131094;Source Application Entity Title;SourceApplicationEntityTitle;AE;False;1;1;False
131095;Sending Application Entity Title;SendingApplicationEntityTitle;AE;False;1;1;False
131096;Receiving Application Entity Title;ReceivingApplicationEntityTitle;AE;False;1;1;False
131110;Source Presentation Address;SourcePresentationAddress;UR;False;1;1;False
131111;Sending Presentation Address;SendingPresentationAddress;UR;False;1;1;False
131112;Receiving Presentation Address;ReceivingPresentationAddress;UR;False;1;1;False
131121;RTV Meta Information Version;RTVMetaInformationVersion;OB;False;1;1;False
131122;RTV Communication SOP Class UID;RTVCommunicationSOPClassUID;UI;False;1;1;False
131123;RTV Communication SOP Instance UID;RTVCommunicationSOPInstanceUID;UI;False;1;1;False
131125;RTV Source Identifier;RTVSourceIdentifier;OB;False;1;1;False
131126;RTV Flow Identifier;RTVFlowIdentifier;OB;False;1;1;False
131127;RTV Flow RTP Sampling Rate;RTVFlowRTPSamplingRate;UL;False;1;1;False
131128;RTV Flow Actual Frame Duration;RTVFlowActualFrameDuration;FD;False;1;1;False
131328;Private Information Creator UID;PrivateInformationCreatorUID;UI;False;1;1;False
131330;Private Information;PrivateInformation;OB;False;1;1;False
266544;File-set ID;FileSetID;CS;False;1;1;False
266561;File-set Descriptor File ID;FileSetDescriptorFileID;CS;False;1;8;False
266562;Specific Character Set of File-set Descriptor File;SpecificCharacterSetOfFileSetDescriptorFile;CS;False;1;1;False
266752;Offset of the First Directory Record of the Root Directory Entity;OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity;UL;False;1;1;False
266754;Offset of the Last Directory Record of the Root Directory Entity;OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity;UL;False;1;1;False
266770;File-set Consistency Flag;FileSetConsistencyFlag;US;False;1;1;False
266784;Directory Record Sequence;DirectoryRecordSequence;SQ;False;1;1;False
267264;Offset of the Next Directory Record;OffsetOfTheNextDirectoryRecord;UL;False;1;1;False
267280;Record In-use Flag;RecordInUseFlag;US;False;1;1;False
267296;Offset of Referenced Lower-Level Directory Entity;OffsetOfReferencedLowerLevelDirectoryEntity;UL;False;1;1;False
267312;Directory Record Type;DirectoryRecordType;CS;False;1;1;False
267314;Private Record UID;PrivateRecordUID;UI;False;1;1;False
267520;Referenced File ID;ReferencedFileID;CS;False;1;8;False
267524;MRDR Directory Record Offset;MRDRDirectoryRecordOffset;UL;False;1;1;True
267536;Referenced SOP Class UID in File;ReferencedSOPClassUIDInFile;UI;False;1;1;False
267537;Referenced SOP Instance UID in File;ReferencedSOPInstanceUIDInFile;UI;False;1;1;False
267538;Referenced Transfer Syntax UID in File;ReferencedTransferSyntaxUIDInFile;UI;False;1;1;False
267546;Referenced Related General SOP Class UID in File;ReferencedRelatedGeneralSOPClassUIDInFile;UI;False;1;4294967295;False
267776;Number of References;NumberOfReferences;UL;False;1;1;True
393217;Current Frame Functional Groups Sequence;CurrentFrameFunctionalGroupsSequence;SQ;False;1;1;False
524289;Length to End;LengthToEnd;UL;False;1;1;True
524293;Specific Character Set;SpecificCharacterSet;CS;False;1;4294967295;False
524294;Language Code Sequence;LanguageCodeSequence;SQ;False;1;1;False
524296;Image Type;ImageType;CS;False;2;4294967295;False
524304;Recognition Code;RecognitionCode;SH;False;1;1;True
524306;Instance Creation Date;InstanceCreationDate;DA;False;1;1;False
524307;Instance Creation Time;InstanceCreationTime;TM;False;1;1;False
524308;Instance Creator UID;InstanceCreatorUID;UI;False;1;1;False
